topic,subtopic,problem,difficulty,solved,notes
Trees,Trees,Serialize and Deserialize Binary Tree,Hard,FALSE,
Trees,Trees,Construct Binary Tree from Preorder & Inorder,Medium,FALSE,
Trees,Trees,Lowest Common Ancestor,Medium,FALSE,
Trees,Trees,Binary Tree Cameras,Hard,FALSE,
Trees,Trees,Vertical Order Traversal,Hard,FALSE,
Trees,Trees,Recover Binary Search Tree,Hard,FALSE,
Trees,Trees,Count of Smaller Numbers After Self,Hard,FALSE,
Trees,Trees,All Nodes Distance K in Binary Tree,Medium,FALSE,
Trees,Trees,Maximum Sum BST in Binary Tree,Hard,FALSE,
Tries,Tries,Word Search II,Hard,FALSE,
Tries,Tries,Design Add and Search Words,Medium,FALSE,
Tries,Tries,Maximum XOR of Two Numbers in an Array,Medium,FALSE,
Tries,Tries,Maximum XOR With an Element From Array,Hard,FALSE,
Tries,Tries,Concatenated Words,Hard,FALSE,
Tries,Tries,Palindrome Pairs,Hard,FALSE,
Tries,Tries,Stream of Characters,Hard,FALSE,
Tries,Tries,Word Squares,Hard,FALSE,
Tries,Tries,Replace Words,Medium,FALSE,
Tries,Tries,Count Pairs With XOR in a Range,Very Hard,FALSE,
Heaps,Heaps,Find Median from Data Stream,Hard,FALSE,
Heaps,Heaps,Merge k Sorted Lists,Hard,FALSE,
Heaps,Heaps,Sliding Window Median,Hard,FALSE,
Heaps,Heaps,Top K Frequent Elements / Words,Medium,FALSE,
Heaps,Heaps,Task Scheduler,Medium,FALSE,
Heaps,Heaps,Reorganize String / Rearrange so no two adjacent,Medium,FALSE,
Heaps,Heaps,IPO,Hard,FALSE,
Heaps,Heaps,Find K Pairs with Smallest Sums,Hard,FALSE,
Heaps,Heaps,Smallest Range Covering Elements from K Lists,Hard,FALSE,
Heaps,Heaps,Maximum Performance of a Team,Hard,FALSE,
Heaps,Heaps,Single-Threaded CPU,Hard,FALSE,
Intervals,Intervals,Merge Intervals / Insert Interval,Medium,FALSE,
Intervals,Intervals,Meeting Rooms II,Medium,FALSE,
Intervals,Intervals,Non-overlapping Intervals,Medium,FALSE,
Intervals,Intervals,Employee Free Time,Hard,FALSE,
Intervals,Intervals,Minimum Number of Arrows to Burst Balloons,Medium,FALSE,
Intervals,Intervals,Data Stream as Disjoint Intervals,Hard,FALSE,
Intervals,Intervals,Range Module,Hard,FALSE,
Intervals,Intervals,Maximum Profit in Job Scheduling,Hard,FALSE,
Intervals,Intervals,My Calendar II / III,Hard,FALSE,
Intervals,Intervals,The Skyline Problem,Hard,TRUE,
Backtracking,Backtracking,N-Queens / N-Queens II,Hard,FALSE,
Backtracking,Backtracking,Sudoku Solver,Hard,FALSE,
Backtracking,Backtracking,Word Search II,Hard,FALSE,
Backtracking,Backtracking,Palindrome Partitioning II,Hard,FALSE,
Backtracking,Backtracking,Permutations II / Subsets II / Combination Sum II,Medium,FALSE,
Backtracking,Backtracking,Expression Add Operators,Hard,FALSE,
Backtracking,Backtracking,Remove Invalid Parentheses,Hard,FALSE,
Backtracking,Backtracking,Partition to K Equal Sum Subsets,Hard,FALSE,
Backtracking,Backtracking,Letter Combinations / Restore IP Addresses,Medium,FALSE,
Backtracking,Backtracking,Matchsticks to Square,Hard,FALSE,
Graphs,Topological Sort,Course Schedule I/II,Medium,TRUE,
Graphs,Topological Sort,Alien Dictionary,Hard,FALSE,
Graphs,Topological Sort,Parallel Courses II,Hard,TRUE,
Graphs,Topological Sort,Sort Items by Groups Respecting Dependencies,Hard,TRUE,2 topo sort
Graphs,Topological Sort,Sequence Reconstruction,Hard,FALSE,
Graphs,Union-Find,Redundant Connection I/II,Medium,FALSE,
Graphs,Union-Find,Accounts Merge,Medium,FALSE,
Graphs,Union-Find,Number of Islands II,Hard,FALSE,
Graphs,Union-Find,Most Stones Removed,Medium,FALSE,
Graphs,Union-Find,Smallest String With Swaps,Hard,FALSE,
Graphs,Union-Find,Number of Good Paths,Hard,FALSE,
Graphs,Union-Find,Making a Large Island,Hard,FALSE,
Graphs,Shortest Path,Network Delay Time,Medium,FALSE,
Graphs,Shortest Path,Cheapest Flights Within K Stops,Hard,FALSE,
Graphs,Shortest Path,Path With Minimum Effort,Hard,FALSE,
Graphs,Shortest Path,Swim in Rising Water,Hard,FALSE,
Graphs,Shortest Path,Minimum Cost to Make at Least One Valid Path,Hard,FALSE,
Graphs,Shortest Path,Reachable Nodes,Hard,FALSE,
Graphs,Shortest Path,Shortest Path in a Grid with Obstacles Elimination,Hard,FALSE,
Graphs,Shortest Path,Path with Maximum Probability,Medium,FALSE,
Graphs,MST,Min Cost to Connect All Points,Medium,FALSE,
Graphs,MST,Connecting Cities With Minimum Cost,Medium,FALSE,
Graphs,MST,Optimize Water Distribution,Hard,FALSE,
Graphs,MST,Find Critical and Pseudo-Critical Edges in MST,Very Hard,FALSE,
Graphs,Advanced (Bridges/Euler/SCC),Critical Connections in a Network,Hard,FALSE,
Graphs,Advanced (Bridges/Euler/SCC),Reconstruct Itinerary,Hard,FALSE,
Graphs,Advanced (Bridges/Euler/SCC),Valid Arrangement of Pairs,Very Hard,FALSE,
Graphs,Advanced (Bridges/Euler/SCC),Minimize Malware Spread,Hard,FALSE,
Dynamic Programming,1-D / Sequence,House Robber I/II,Medium,TRUE,
Dynamic Programming,1-D / Sequence,Decode Ways,Medium,TRUE,
Dynamic Programming,1-D / Sequence,Word Break,Medium,TRUE,
Dynamic Programming,1-D / Sequence,Jump Game II,Medium,TRUE,
Dynamic Programming,1-D / Sequence,Maximum Product Subarray,Medium,TRUE,
Dynamic Programming,1-D / Sequence,Longest Increasing Subsequence,Medium,TRUE,
Dynamic Programming,Knapsack,Partition Equal Subset Sum,Medium,TRUE,
Dynamic Programming,Knapsack,Target Sum,Medium,TRUE,
Dynamic Programming,Knapsack,Coin Change I/II,Medium,TRUE,
Dynamic Programming,Knapsack,Last Stone Weight II,Hard,TRUE,
Dynamic Programming,Knapsack,Ones and Zeroes,Hard,TRUE,
Dynamic Programming,Knapsack,Profitable Schemes,Hard,TRUE,
Dynamic Programming,Knapsack,Number of Dice Rolls With Target Sum,Medium,TRUE,
Dynamic Programming,Knapsack,Form Largest Integer With Digits That Add up to Target,Hard,TRUE,
Dynamic Programming,Grid / Path,Unique Paths I/II,Medium,TRUE,
Dynamic Programming,Grid / Path,Minimum Path Sum,Medium,TRUE,
Dynamic Programming,Grid / Path,Dungeon Game,Hard,TRUE,
Dynamic Programming,Grid / Path,Cherry Pickup,Hard,FALSE,
Dynamic Programming,Grid / Path,Cherry Pickup II,Hard,FALSE,
Dynamic Programming,Grid / Path,Maximal Square,Medium,FALSE,
Dynamic Programming,Grid / Path,Number of Paths with Max Score,Hard,FALSE,
Dynamic Programming,String (LCS/Edit),Edit Distance,Hard,TRUE,
Dynamic Programming,String (LCS/Edit),Longest Common Subsequence,Medium,FALSE,
Dynamic Programming,String (LCS/Edit),Distinct Subsequences,Hard,TRUE,
Dynamic Programming,String (LCS/Edit),Interleaving String,Hard,TRUE,
Dynamic Programming,String (LCS/Edit),Regular Expression Matching,Hard,FALSE,
Dynamic Programming,String (LCS/Edit),Wildcard Matching,Hard,FALSE,
Dynamic Programming,String (LCS/Edit),Shortest Common Supersequence,Hard,FALSE,
Dynamic Programming,String (LCS/Edit),Longest Palindromic Subsequence,Medium,FALSE,
Dynamic Programming,String (LCS/Edit),Scramble String,Very Hard,FALSE,
Dynamic Programming,Palindrome,Palindromic Substrings,Medium,FALSE,
Dynamic Programming,Palindrome,Longest Palindromic Substring,Medium,FALSE,
Dynamic Programming,Palindrome,Palindrome Partitioning II,Hard,TRUE,
Dynamic Programming,Palindrome,Palindrome Removal,Very Hard,FALSE,
Dynamic Programming,Palindrome,Count Different Palindromic Subsequences,Very Hard,FALSE,
Dynamic Programming,Interval,Burst Balloons,Hard,TRUE,Took hint
Dynamic Programming,Interval,Matrix Chain / Minimum Cost to Merge Stones,Hard,FALSE,
Dynamic Programming,Interval,Stone Game VII,Hard,FALSE,
Dynamic Programming,Interval,Stone Game V,Very Hard,FALSE,
Dynamic Programming,Interval,Remove Boxes,Very Hard,FALSE,
Dynamic Programming,Interval,Strange Printer,Hard,FALSE,
Dynamic Programming,Interval,Guess Number Higher or Lower II,Hard,FALSE,
Dynamic Programming,LIS & Patience,Russian Doll Envelopes,Hard,TRUE,
Dynamic Programming,LIS & Patience,Number of LIS,Hard,TRUE,
Dynamic Programming,LIS & Patience,Maximum Height by Stacking Cuboids,Hard,TRUE,
Dynamic Programming,LIS & Patience,Longest Increasing Path in a Matrix,Hard,TRUE,
Dynamic Programming,LIS & Patience,Make Array Strictly Increasing,Very Hard,TRUE,
Dynamic Programming,Stock / State-machine,Best Time to Buy/Sell Stock III,Hard,TRUE,
Dynamic Programming,Stock / State-machine,Best Time to Buy/Sell Stock IV,Hard,TRUE,
Dynamic Programming,Stock / State-machine,Best Time to Buy/Sell Stock with Cooldown,Medium,FALSE,
Dynamic Programming,Stock / State-machine,Best Time to Buy/Sell Stock with Transaction Fee,Medium,FALSE,
Dynamic Programming,Bitmask,Partition to K Equal Sum Subsets,Hard,FALSE,
Dynamic Programming,Bitmask,Shortest Path Visiting All Nodes,Hard,FALSE,
Dynamic Programming,Bitmask,Minimum Cost to Connect Two Groups,Hard,FALSE,
Dynamic Programming,Bitmask,Find the Shortest Superstring,Very Hard,FALSE,
Dynamic Programming,Bitmask,Maximum Students Taking Exam,Hard,FALSE,
Dynamic Programming,Bitmask,Number of Ways to Wear Different Hats,Very Hard,FALSE,
Dynamic Programming,Digit,Count Numbers with Unique Digits,Medium,FALSE,
Dynamic Programming,Digit,Numbers At Most N Given Digit Set,Hard,FALSE,
Dynamic Programming,Digit,Count of Integers,Very Hard,FALSE,
Dynamic Programming,Digit,Numbers With Repeated Digits,Very Hard,FALSE,
Dynamic Programming,Digit,Count Special Integers,Hard,FALSE,
Dynamic Programming,Digit,Non-negative Integers without Consecutive Ones,Hard,FALSE,
Dynamic Programming,Tree DP,House Robber III,Medium,FALSE,
Dynamic Programming,Tree DP,Binary Tree Cameras,Hard,FALSE,
Dynamic Programming,Tree DP,Sum of Distances in Tree,Hard,FALSE,
Dynamic Programming,Tree DP,Tree Diameter,Hard,FALSE,
Dynamic Programming,Tree DP,Maximum Sum BST,Hard,FALSE,
Dynamic Programming,Tree DP,Minimum Height Trees,Medium,FALSE,
Greedy,Greedy,Jump Game II,Medium,TRUE,
Greedy,Greedy,Gas Station,Medium,TRUE,
Greedy,Greedy,Candy,Hard,TRUE,
Greedy,Greedy,Task Scheduler,Medium,TRUE,
Greedy,Greedy,Partition Labels,Medium,FALSE,
Greedy,Greedy,Minimum Number of Refueling Stops,Hard,FALSE,
Greedy,Greedy,Course Schedule III,Hard,TRUE,Redo
Greedy,Greedy,Maximum Number of Events That Can Be Attended,Hard,FALSE,
Greedy,Greedy,Two City Scheduling,Medium,FALSE,
Greedy,Greedy,Video Stitching,Medium,TRUE,
Greedy,Greedy,Remove K Digits,Medium,TRUE,
Greedy,Greedy,IPO,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Single Number II / III,Hard,TRUE,
Math & Bit Manipulation,Math & Bit Manipulation,Maximum XOR of Two Numbers,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Sum of Two Integers,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Counting Bits,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Subsets via bitmask,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Bitwise AND of Range,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Minimum XOR Sum / Beautiful Arrangement,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Power of Two / Power of Three / Power of Four,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,"Pow(x,n)",Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Sqrt(x),Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Excel Column,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Count Primes,Medium,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Fraction to Recurring Decimal,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Basic Calculator I/II/III,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Max Points on a Line,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Super Pow,Hard,FALSE,
Math & Bit Manipulation,Math & Bit Manipulation,Nth Magical Number,Hard,FALSE,
Niche / Advanced,Meet in the Middle,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,FALSE,
Niche / Advanced,Meet in the Middle,Closest Subsequence Sum,Hard,FALSE,
Niche / Advanced,Meet in the Middle,Subset Sum,Very Hard,FALSE,
Niche / Advanced,Meet in the Middle,Split Array With Same Average,Very Hard,FALSE,
Niche / Advanced,Segment Tree / BIT,Count of Smaller Numbers After Self,Hard,FALSE,
Niche / Advanced,Segment Tree / BIT,Range Sum Query - Mutable,Medium,FALSE,
Niche / Advanced,Segment Tree / BIT,Reverse Pairs,Hard,FALSE,
Niche / Advanced,Segment Tree / BIT,Count of Range Sum,Hard,FALSE,
Niche / Advanced,Segment Tree / BIT,The Skyline Problem,Hard,TRUE,
Niche / Advanced,Segment Tree / BIT,Falling Squares,Hard,FALSE,
Niche / Advanced,Segment Tree / BIT,Range Module,Hard,TRUE,Redo
Niche / Advanced,Segment Tree / BIT,My Calendar III,Hard,TRUE,Most efficient way is segment tree
Niche / Advanced,Segment Tree / BIT,Longest Increasing Subsequence II,Very Hard,FALSE,
Niche / Advanced,Monotonic Deque,Sliding Window Maximum,Hard,TRUE,
Niche / Advanced,Monotonic Deque,Shortest Subarray with Sum at Least K,Hard,FALSE,
Niche / Advanced,Monotonic Deque,Constrained Subsequence Sum,Hard,FALSE,
Niche / Advanced,Monotonic Deque,Jump Game VI,Hard,FALSE,
Niche / Advanced,Monotonic Deque,Largest Rectangle,Hard,FALSE,
Niche / Advanced,Monotonic Deque,Max Value of Equation,Hard,FALSE,
Niche / Advanced,Line Sweep,Meeting Rooms II,Medium,FALSE,
Niche / Advanced,Line Sweep,My Calendar I/II/III,Hard,FALSE,
Niche / Advanced,Line Sweep,Rectangle Area II,Hard,FALSE,
Niche / Advanced,Line Sweep,Employee Free Time,Hard,TRUE,
Niche / Advanced,Line Sweep,Number of Airplanes in the Sky,Hard,TRUE,
Niche / Advanced,Line Sweep,Describe the Painting,Hard,TRUE,
Niche / Advanced,Line Sweep,Minimum Interval to Include Each Query,Hard,TRUE,
Niche / Advanced,String Matching (KMP/Z/RK),Implement strStr(),Medium,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Shortest Palindrome,Hard,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Repeated Substring Pattern,Medium,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Longest Happy Prefix,Hard,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Find All Anagrams,Medium,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Distinct Echo Substrings,Hard,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Longest Duplicate Substring,Hard,FALSE,
Niche / Advanced,String Matching (KMP/Z/RK),Strings Differ by One Char,Hard,FALSE,
Niche / Advanced,Matrix Exponentiation,Fibonacci at large n,Very Hard,FALSE,
Niche / Advanced,Matrix Exponentiation,Count paths of length k in a graph,Very Hard,FALSE,
Niche / Advanced,Matrix Exponentiation,Knight Dialer,Hard,FALSE,
Niche / Advanced,Matrix Exponentiation,Student Attendance Record II,Hard,FALSE,
Niche / Advanced,Matrix Exponentiation,Number of Ways to Stay in the Same Place After Some Steps,Hard,FALSE
